Time,Level,Ticker,Notional,Size,Price,Closing1d,Volume,1DChg,UndTkr,1PtVal,Exch,UndCmpName,UndPrc,Date,FutName,Structure_ID,Structure
15:35:29,,ZTWZ4,100120101.0,1437,696.0,,23074,1.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.73,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-34-L2,Leg
15:28:24,1.569984520123846,ZVLZ4H5,99223260.0,774,1292.0,"=BDH(J104&"" Index"", ""PX_CLOSE_1D"",O104,O104)",2708,-11.0,M1IN,100,GR,MSCI India Net Total Return US,1291.91,2024-12-18,MSCI India        Dec24Mar25,20241218-R-35,Roll
15:28:46,,ZVLH5,98452686.0,762,1312.2842,,2147,-11.32,M1IN,100,GR,MSCI India Net Total Return US,1292.03,2024-12-18,MSCI India        Mar25,20241218-R-35-L1,Leg
15:28:24,,ZVLZ4,99993834.0,774,1292.0,,2708,-11.0,M1IN,100,GR,MSCI India Net Total Return US,1291.91,2024-12-18,MSCI India        Dec24,20241218-R-35-L2,Leg
15:06:33,1.1499211045364888,MURZ4H5,119225716.0,4743,507.0,"=BDH(J107&"" Index"", ""PX_CLOSE_1D"",O107,O107)",5355,-0.3,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Dec24Mar25,20241218-R-36,Roll
15:07:21,,MURH5,119225716.0,4743,512.8301,,5437,-0.17,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Mar25,20241218-R-36-L1,Leg
15:06:33,,MURZ4,119225716.0,4743,507.0,,5355,-0.3,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Dec24,20241218-R-36-L2,Leg
14:46:38,1.295070422535205,FPOZ4H5,8354326.0,100,837.8,"=BDH(J110&"" Index"", ""PX_CLOSE_1D"",O110,O110)",3625,4.2,NDEUSTW,100,GR,MSCI Emerging Markets Taiwan N,835.43,2024-12-18,MSCI Taiwan       Dec24Mar25,20241218-R-37,Roll
14:47:01,,FPOH5,8354326.0,100,848.6501,,8971,0.35,NDEUSTW,100,GR,MSCI Emerging Markets Taiwan N,835.43,2024-12-18,MSCI Taiwan       Mar25,20241218-R-37-L1,Leg
14:46:38,,FPOZ4,8354326.0,100,837.8,,3625,4.2,NDEUSTW,100,GR,MSCI Emerging Markets Taiwan N,835.43,2024-12-18,MSCI Taiwan       Dec24,20241218-R-37-L2,Leg
14:24:39,1.2201210653753014,ZVWZ4H5,13365132.0,650,413.0,"=BDH(J113&"" Index"", ""PX_CLOSE_1D"",O113,O113)",647,-9.1,M1PH,50,GR,MSCI Philippines Net Total Ret,413.97,2024-12-18,MSCI Philippines  Dec24Mar25,20241218-R-38,Roll
14:25:22,,ZVWH5,13276239.0,642,418.0391,,408,-11.26,M1PH,50,GR,MSCI Philippines Net Total Ret,413.59,2024-12-18,MSCI Philippines  Mar25,20241218-R-38-L1,Leg
